"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","NZD","New Zealand Dollar","0","Units",,,1.407408,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","NZD","New Zealand Dollar","0","Units",,,1.445258,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","NZD","New Zealand Dollar","0","Units",,,1.517875,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","NZD","New Zealand Dollar","0","Units",,,1.542058,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","NZD","New Zealand Dollar","0","Units",,,1.4138,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","NZD","New Zealand Dollar","0","Units",,,1.577183,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","EUR","Euro","0","Units",,,0.115053,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","EUR","Euro","0","Units",,,0.339205,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","EUR","Euro","0","Units",,,0.47255,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","EUR","Euro","0","Units",,,0.537509,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","EUR","Euro","0","Units",,,0.494569,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","EUR","Euro","0","Units",,,0.564865,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","EUR","Euro","0","Units",,,0.666368,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","EUR","Euro","0","Units",,,0.693266,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","EUR","Euro","0","Units",,,0.758509,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,0.929127,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.012973,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2002","2002","EUR","Euro","0","Units",,,1.002538,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2003","2003","EUR","Euro","0","Units",,,0.86427,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2004","2004","EUR","Euro","0","Units",,,0.802792,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.804146,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.797147,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.729672,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.679923,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.716958,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.754309,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.718414,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.778338,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.752945,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.752728,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.901296,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.903421,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.885206,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.846773,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.893276,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.875506,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.845494,,
"SVN","Slovenia","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.949624,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1950","1950","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1951","1951","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1952","1952","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1953","1953","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1954","1954","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1955","1955","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1956","1956","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1957","1957","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1958","1958","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1959","1959","ISK","Iceland Krona","0","Units",,,0.1632,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1960","1960","ISK","Iceland Krona","0","Units",,,0.381,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1961","1961","ISK","Iceland Krona","0","Units",,,0.4306,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1962","1962","ISK","Iceland Krona","0","Units",,,0.4306,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1963","1963","ISK","Iceland Krona","0","Units",,,0.4306,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1964","1964","ISK","Iceland Krona","0","Units",,,0.4306,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1965","1965","ISK","Iceland Krona","0","Units",,,0.4306,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1966","1966","ISK","Iceland Krona","0","Units",,,0.4306,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1967","1967","ISK","Iceland Krona","0","Units",,,0.5707,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1968","1968","ISK","Iceland Krona","0","Units",,,0.881,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1969","1969","ISK","Iceland Krona","0","Units",,,0.881,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1970","1970","ISK","Iceland Krona","0","Units",,,0.881,,
"ISL","Iceland","EXCE","Exchange rates, end of period","CD","National currency per US dollar","1971","1971","ISK","Iceland Krona","0","Units",,,0.8742,,
